name,size,solver,solve time,error,run date
grounded,176,xmt,0.0369,,2026-05-20T14:19:44.965431
grounded,211,xmt,0.0424,,2026-05-20T14:19:45.508412
grounded,253,xmt,0.0491,,2026-05-20T14:19:46.111766
grounded,303,xmt,0.0589,,2026-05-20T14:19:46.721375
grounded,363,xmt,0.0703,,2026-05-20T14:19:47.341915
grounded,435,xmt,0.1179,,2026-05-20T14:19:47.981753
grounded,522,xmt,0.1355,,2026-05-20T14:19:48.607105
grounded,626,xmt,0.1753,,2026-05-20T14:19:49.295028
grounded,751,xmt,0.2422,,2026-05-20T14:19:50.112126
grounded,901,xmt,0.3270,,2026-05-20T14:19:50.986479
